,policy,t_test,p_value,gamma,alpha,reward_scheme
1070,2x496teq,-3.9482224248592406,4.187265657049491e-05,0.5,0.4099999999999998,discount
1071,2ys8h4ek,-3.297871265579075,0.0005027202824042072,0.5,0.4099999999999998,discount
1087,override-block,-5.8376351852822985,1.0687712913011904e-08,0.5,0.4199999999999998,discount
1088,override-catchup,-5.534585696937372,4.9069289505644805e-08,0.5,0.4199999999999998,discount
