,policy,t_test,p_value,gamma,alpha,reward_scheme
540,2x496teq,-3.7807044343630913,8.240263790963516e-05,0.0,0.45999999999999985,constant
391,2ys8h4ek,-3.289742626753604,0.0005173219452594194,0.0,0.3599999999999999,constant
422,override-block,-3.926451563669476,5.9481835850965734e-05,0.0,0.3799999999999999,constant
408,override-catchup,-4.067354000588435,3.430716863089072e-05,0.0,0.3699999999999999,constant
514,release-block,-4.590211293620097,3.9280517627288946e-06,0.0,0.43999999999999984,constant
