,policy,t_test,p_value,gamma,alpha,reward_scheme
775,2x496teq,-3.3689028730544943,0.0003904447502779769,0.9,0.20999999999999996,discount
1091,2ys8h4ek,-5.485948372644995,2.5517406628986404e-08,0.9,0.4199999999999998,discount
1062,override-block,-3.2961603807962363,0.0005807811221339929,0.9,0.3999999999999998,discount
1078,override-catchup,-3.5216149148536284,0.0002661902821260548,0.9,0.4099999999999998,discount
