,policy,t_test,p_value,gamma,alpha,reward_scheme
1155,2x496teq,-3.4941389374685916,0.00024727472944373915,0.0,0.46999999999999986,discount
1066,2ys8h4ek,-3.90013037073299,5.098844358267443e-05,0.0,0.4099999999999998,discount
1097,override-block,-3.6291433293087523,0.00018096485498468137,0.0,0.4299999999999998,discount
1053,override-catchup,-4.651411451670683,3.0099885813159915e-06,0.0,0.3999999999999998,discount
