,policy,t_test,p_value,gamma,alpha,reward_scheme
205,2x496teq,-4.090915177965279,2.3053921859966727e-05,0.9,0.22999999999999995,constant
416,2ys8h4ek,-5.123075684697102,1.774393024276723e-07,0.9,0.3699999999999999,constant
357,override-block,-3.432597962956454,0.00036392837475555213,0.9,0.32999999999999985,constant
418,override-catchup,-3.4503570501730665,0.0003420827065036917,0.9,0.3699999999999999,constant
509,release-block,-4.2673524274692705,1.5323082094861944e-05,0.9,0.4299999999999998,constant
