	network	network_description	compute	protocol	k	protocol_description	block_interval	activation_delay	number_activations	activations	incentive_scheme	incentive_scheme_description	strategy	strategy_description	reward	machine_duration_s	error	compute_weakest	compute_strongest	compute_gini	activations_weakest	activations_strongest	activations_gini	reward_weakest	reward_strongest	reward_gini	efficiency_weakest	efficiency_strongest	efficiency_gini	activations_compute_gini_delta	reward_activations_gini_delta
10	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	2	George's protocol with k=2	60.0	30.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	hybrid	max k per confirmed block, d/k per pow solution on longest chain of votes (d ∊ 1..k = height since last block)			17407.|35320.|52892.|70276.|88202.|105884.|123574.|141655.|159332.|177308.	14.352211288		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.017911200288110305	0.1824437927663734	0.3013411534701857	0.9920904114384792	1.0038338611717026	0.0022118826355689123	-0.00022700000000014375	0.0015681534701857403
11	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	2	George's protocol with k=2	60.0	30.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	block	1 per confirmed block			8637.|17659.|26557.|35203.|43904.|52861.|61869.|70940.|79711.|88584.	15.465911919		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.017774347893193394	0.18229973761382928	0.30143684725009007	0.9845102411207153	1.003041247524467	0.0030237021733547967	-0.00022700000000014375	0.0016638472500901114
12	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	1	George's protocol with k=1	30.0	30.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	constant	max k per confirmed block, d/k per pow solution on longest chain of votes (d ∊ 1..k = height since last block)			17407.|35320.|52892.|70276.|88203.|105884.|123574.|141655.|159332.|177308.	13.357849486		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.01791118185812434	0.18244360503822088	0.30134074050446	0.9920893906128471	1.0038328282624795	0.002211766733796517	-0.00022700000000014375	0.001567740504460069
13	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	1	George's protocol with k=1	30.0	30.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	discount	1 per confirmed pow solution			17407.|35320.|52892.|70276.|88203.|105884.|123574.|141655.|159332.|177308.	13.970908211		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.01791118185812434	0.18244360503822088	0.30134074050446	0.9920893906128471	1.0038328282624795	0.002211766733796517	-0.00022700000000014375	0.001567740504460069
14	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	1	George's protocol with k=1	30.0	30.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	punish	max k per confirmed block, 1 per pow solution on longest chain of votes			17407.|35320.|52892.|70276.|88203.|105884.|123574.|141655.|159332.|177308.	14.558448486		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.01791118185812434	0.18244360503822088	0.30134074050446	0.9920893906128471	1.0038328282624795	0.002211766733796517	-0.00022700000000014375	0.001567740504460069
15	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	1	George's protocol with k=1	30.0	30.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	hybrid	max k per confirmed block, d/k per pow solution on longest chain of votes (d ∊ 1..k = height since last block)			17407.|35320.|52892.|70276.|88203.|105884.|123574.|141655.|159332.|177308.	15.064308823		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.01791118185812434	0.18244360503822088	0.30134074050446	0.9920893906128471	1.0038328282624795	0.002211766733796517	-0.00022700000000014375	0.001567740504460069
16	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	1	George's protocol with k=1	30.0	30.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	block	1 per confirmed block			17407.|35320.|52892.|70276.|88203.|105884.|123574.|141655.|159332.|177308.	15.522434228		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.01791118185812434	0.18244360503822088	0.30134074050446	0.9920893906128471	1.0038328282624795	0.002211766733796517	-0.00022700000000014375	0.001567740504460069
17	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	bk+ll	1	Bₖ with less leader modification with k=1	30.0	30.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	constant	1 per confirmed pow solution			17407.|35320.|52892.|70276.|88203.|105884.|123574.|141655.|159332.|177308.	15.037095765		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.01791118185812434	0.18244360503822088	0.30134074050446	0.9920893906128471	1.0038328282624795	0.002211766733796517	-0.00022700000000014375	0.001567740504460069
18	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	bk+ll	1	Bₖ with less leader modification with k=1	30.0	30.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	block	1 per confirmed block			17407.|35320.|52892.|70276.|88203.|105884.|123574.|141655.|159332.|177308.	15.540529446		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.01791118185812434	0.18244360503822088	0.30134074050446	0.9920893906128471	1.0038328282624795	0.002211766733796517	-0.00022700000000014375	0.001567740504460069
19	honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	nakamoto	1	Nakamoto consensus	600.0	600.0	1000000	18054|36602|54721|72633|90925|109089|127159|145460|163610|181747	block	1 per confirmed block			18023.|36528.|54638.|72490.|90764.|108936.|126988.|145239.|163392.|181546.	17.024701979		0.01818181818181818	0.18181818181818182	0.3000000000000001	0.018054	0.181747	0.29977299999999996	0.01804927975131792	0.18181071640308288	0.29987922415036294	0.9997385483171551	1.0003505774680346	0.00015797446066224773	-0.00022700000000014375	0.00010622415036298793
