network	network_description	compute	protocol	k	protocol_description	block_interval	activation_delay	number_activations	activations	incentive_scheme	incentive_scheme_description	strategy	strategy_description	reward	machine_duration_s	error	
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	128	George's protocol with k=128	60.	0.46875	1000000	17907|36265|54549|73140|90915|109075|127279|144802|163777|182291	punish	max k per confirmed block, 1 per pow solution on longest chain of votes	none		4301.|9634.|15841.|23502.|31940.|41924.|53788.|66698.|81190.|98250.	318.453719137		
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	128	George's protocol with k=128	60.	0.46875	1000000	17907|36265|54549|73140|90915|109075|127279|144802|163777|182291	hybrid	max k per confirmed block, d/k per pow solution on longest chain of votes (d ∊ 1..k = height since last block)	none		1902.34375|4268.484375|7015.0625|10398.2578125|14149.140625|18562.1953125|23828.8984375|29574.6328125|36015.0078125|43612.6640625	319.29058752		
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	128	George's protocol with k=128	60.	0.46875	1000000	17907|36265|54549|73140|90915|109075|127279|144802|163777|182291	block	1 per confirmed block	none		82.|169.|309.|456.|595.|754.|1003.|1175.|1453.|1558.	320.023073037		
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	128	George's protocol with k=128	120.	0.9375	1000000	17958|36259|54469|72925|91461|109040|127344|144589|163711|182244	constant	max k per confirmed block, d/k per pow solution on longest chain of votes (d ∊ 1..k = height since last block)	none		17608.|35543.|53526.|71573.|89889.|107286.|125409.|142547.|161384.|179939.	395.685597621		
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	128	George's protocol with k=128	120.	0.9375	1000000	17958|36259|54469|72925|91461|109040|127344|144589|163711|182244	discount	1 per confirmed pow solution	none		10070.4609375|20324.7421875|30601.109375|40936.6171875|51411.453125|61383.1875|71766.9765625|81601.3828125|92403.109375|103055.960938	396.978975088		
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	128	George's protocol with k=128	120.	0.9375	1000000	17958|36259|54469|72925|91461|109040|127344|144589|163711|182244	punish	max k per confirmed block, 1 per pow solution on longest chain of votes	none		7670.|16256.|25624.|36129.|47153.|58528.|71960.|84647.|99549.|116039.	397.825246721		
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	128	George's protocol with k=128	120.	0.9375	1000000	17958|36259|54469|72925|91461|109040|127344|144589|163711|182244	hybrid	max k per confirmed block, d/k per pow solution on longest chain of votes (d ∊ 1..k = height since last block)	none		4403.9453125|9325.3984375|14701.8203125|20729.390625|27061.015625|33584.2265625|41301.5703125|48585.8359375|57142.515625|66618.4921875	398.678127161		
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	128	George's protocol with k=128	120.	0.9375	1000000	17958|36259|54469|72925|91461|109040|127344|144589|163711|182244	block	1 per confirmed block	none		94.|206.|381.|500.|660.|826.|974.|1171.|1301.|1580.	399.403559523		
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	128	George's protocol with k=128	300.	2.34375	1000000	17987|36200|54606|72951|91324|109073|127148|144761|163553|182397	constant	max k per confirmed block, d/k per pow solution on longest chain of votes (d ∊ 1..k = height since last block)	none		17837.|35946.|54214.|72401.|90730.|108404.|126378.|143939.|162680.|181391.	482.891364546		
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	128	George's protocol with k=128	300.	2.34375	1000000	17987|36200|54606|72951|91324|109073|127148|144761|163553|182397	discount	1 per confirmed pow solution	none		13351.5703125|26914.6171875|40571.9140625|54186.078125|67925.2734375|81145.421875|94630.859375|107793.109375|121801.820312|135875.335938	484.095366974		
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	128	George's protocol with k=128	300.	2.34375	1000000	17987|36200|54606|72951|91324|109073|127148|144761|163553|182397	punish	max k per confirmed block, 1 per pow solution on longest chain of votes	none		12042.|24883.|37981.|51566.|65760.|79665.|94621.|109667.|125702.|142309.	485.053232076		
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	128	George's protocol with k=128	300.	2.34375	1000000	17987|36200|54606|72951|91324|109073|127148|144761|163553|182397	hybrid	max k per confirmed block, d/k per pow solution on longest chain of votes (d ∊ 1..k = height since last block)	none		9032.015625|18669.2578125|28485.4296875|38673.8203125|49328.2265625|59741.09375|70986.328125|82273.1953125|94265.9765625|106768.109375	486.005360294		
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	128	George's protocol with k=128	300.	2.34375	1000000	17987|36200|54606|72951|91324|109073|127148|144761|163553|182397	block	1 per confirmed block	none		137.|264.|389.|506.|680.|851.|977.|1134.|1346.|1481.	486.770833408		
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	128	George's protocol with k=128	600.	4.6875	1000000	17987|36200|54606|72951|91324|109073|127148|144761|163553|182397	constant	max k per confirmed block, d/k per pow solution on longest chain of votes (d ∊ 1..k = height since last block)	none		17927.|36074.|54428.|72683.|91051.|108718.|126759.|144354.|163083.|181915.	551.792198817		
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	128	George's protocol with k=128	600.	4.6875	1000000	17987|36200|54606|72951|91324|109073|127148|144761|163553|182397	discount	1 per confirmed pow solution	none		15254.6484375|30699.921875|46302.65625|61843.75|77474.2421875|92513.96875|107871.304688|122866.960938|138791.773438|154827.773438	552.848845551		
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	128	George's protocol with k=128	600.	4.6875	1000000	17987|36200|54606|72951|91324|109073|127148|144761|163553|182397	punish	max k per confirmed block, 1 per pow solution on longest chain of votes	none		14408.|29504.|44892.|60301.|76213.|92015.|107601.|123864.|141134.|158515.	553.643870058		
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	128	George's protocol with k=128	600.	4.6875	1000000	17987|36200|54606|72951|91324|109073|127148|144761|163553|182397	hybrid	max k per confirmed block, d/k per pow solution on longest chain of votes (d ∊ 1..k = height since last block)	none		12277.828125|25139.109375|38243.6484375|51376.875|64926.953125|78393.7890625|91671.2734375|105535.789062|120237.648438|135032.078125	554.424990249		
honest-clique-10	10 nodes, compute 1..10, simple dissemination, uniform propagation delay 0.5 .. 1.5	1.|2.|3.|4.|5.|6.|7.|8.|9.|10.	george	128	George's protocol with k=128	600.	4.6875	1000000	17987|36200|54606|72951|91324|109073|127148|144761|163553|182397	block	1 per confirmed block	none		154.|255.|395.|588.|678.|850.|984.|1101.|1385.|1399.	555.021812449		
